year day bgsex bgsey bgsez
2019 48 3.861 1.154 -0.872
2019 48 3.866 1.062 -0.937
2019 48 3.995 1.051 -0.700
2019 48 4.059 1.021 -0.728
2019 48 4.015 0.995 -0.602
2019 48 4.117 0.952 -0.423
2019 48 4.097 0.996 -0.526
2019 48 3.979 1.040 -0.694
2019 48 3.830 1.108 -1.097
2019 48 3.954 1.227 -0.900
2019 48 3.668 1.588 -1.534
2019 48 3.998 0.997 -0.224
2019 48 3.798 1.155 -0.273
2019 48 3.587 1.360 -0.693
2019 48 3.541 1.545 -0.761
2019 48 3.399 1.558 -1.080
2019 48 3.522 1.163 -0.986
2019 48 3.587 1.154 -0.833
2019 48 3.535 1.378 -0.822
2019 48 3.470 1.523 -0.853
2019 48 3.969 1.671 -0.960
2019 48 4.042 1.515 -1.115
2019 48 3.989 1.688 -1.399
2019 48 4.152 1.890 -1.237
2019 48 3.928 2.160 -1.426
2019 48 3.853 2.367 -1.221
2019 48 3.932 2.440 -1.241
2019 48 3.974 2.372 -1.175
2019 48 3.850 2.236 -1.133
2019 48 3.975 2.224 -1.088
2019 48 3.786 2.217 -1.035
2019 48 4.007 2.512 -1.120
2019 48 4.054 2.447 -1.169
2019 48 4.025 2.318 -1.174
2019 48 4.079 2.194 -1.134
2019 48 4.010 2.142 -1.120
2019 48 3.831 2.015 -1.070
2019 48 3.783 2.145 -0.980
2019 48 3.671 2.270 -0.947
2019 48 3.667 2.221 -1.017
2019 48 3.632 2.274 -1.034
2019 48 3.628 2.255 -1.027
2019 48 3.617 2.319 -1.006
2019 48 3.635 2.294 -1.146
2019 48 3.753 2.357 -1.025
2019 48 3.781 2.433 -1.119
2019 48 4.010 2.378 -1.067
2019 48 3.903 2.380 -1.048
2019 48 3.919 2.407 -1.100
2019 48 3.863 2.438 -1.144
2019 48 3.671 2.616 -0.819
2019 48 3.756 1.984 -1.025
2019 48 4.057 1.367 -1.137
2019 48 4.170 0.694 -1.261
2019 48 4.219 0.104 -1.376
2019 48 4.128 0.529 -1.500
2019 48 4.187 0.600 -1.495
2019 48 3.997 0.388 -1.340
2019 48 3.758 1.259 -1.448
2019 48 3.649 1.502 -1.493
2019 48 3.667 1.477 -1.569
2019 48 4.100 0.566 -1.255
2019 48 3.967 1.386 -1.552
2019 48 3.918 1.498 -1.511
2019 48 3.990 1.039 -1.410
2019 48 3.917 1.115 -1.361
2019 48 3.818 1.345 -1.409
2019 48 3.959 1.084 -1.365
2019 48 4.181 0.456 -1.357
2019 48 4.143 0.538 -1.307
2019 48 4.086 0.464 -1.349
2019 48 4.057 0.579 -1.367
2019 48 4.096 0.977 -1.318
2019 48 4.142 0.960 -1.333
2019 48 4.091 1.068 -1.291
2019 48 4.161 1.038 -1.291
2019 48 4.026 0.915 -1.256
2019 48 4.024 0.803 -1.218
2019 48 4.036 0.704 -1.246
2019 48 4.081 0.553 -1.151
2019 48 4.061 0.496 -1.162
2019 48 4.040 0.661 -1.114
2019 48 3.975 0.714 -1.129
2019 48 4.002 0.905 -1.183
2019 48 4.029 0.748 -1.223
2019 48 4.028 0.680 -1.293
2019 48 4.065 0.602 -1.106
2019 48 4.035 0.540 -0.922
2019 48 4.111 0.510 -1.015
2019 48 4.078 0.440 -0.999
2019 48 3.990 0.506 -1.134
2019 48 4.092 0.484 -0.608
2019 48 4.137 0.272 -0.742
2019 48 4.242 -0.016 -0.758
2019 48 4.219 -0.052 -0.794
2019 48 4.215 0.143 -0.768
2019 48 4.229 0.217 -0.742
2019 48 4.282 0.226 -0.729
2019 48 4.177 0.200 -0.786
2019 48 4.107 0.216 -0.786
2019 48 4.153 0.168 -0.746
2019 48 4.193 0.274 -0.790
2019 48 4.170 0.391 -0.800
2019 48 4.157 0.519 -0.807
2019 48 4.166 -0.206 -0.498
2019 48 4.258 -0.477 -0.345
2019 48 4.189 -0.578 -0.331
2019 48 4.247 -0.261 -0.431
2019 48 4.295 0.229 -0.667
2019 48 4.308 0.137 -0.600
2019 48 4.418 0.026 -0.558
2019 48 4.439 -0.084 -0.502
2019 48 4.430 -0.094 -0.469
2019 48 4.321 0.041 -0.376
2019 48 4.365 -0.135 -0.263
2019 48 4.337 -0.460 0.013
2019 48 4.404 -0.155 -0.197
2019 48 4.418 0.188 -0.365
2019 48 4.352 0.177 -0.384
2019 48 4.442 0.227 -0.377
2019 48 4.490 0.246 -0.413
2019 48 4.404 0.205 -0.390
2019 48 4.406 0.311 -0.298
2019 48 4.434 0.324 -0.058
2019 48 4.441 0.323 -0.003
2019 48 4.432 0.325 -0.714
2019 48 4.375 0.273 -0.816
2019 48 4.304 0.355 -0.862
2019 48 4.319 0.243 -0.892
2019 48 4.271 0.311 -0.790
2019 48 4.269 0.356 -0.715
2019 48 4.306 0.388 -0.703
2019 48 4.285 0.381 -0.744
2019 48 4.254 0.391 -0.728
2019 48 4.281 0.447 -0.674
2019 48 4.277 0.513 -0.629
2019 48 4.296 0.529 -0.652
2019 48 4.179 0.481 -0.658
2019 48 4.245 0.451 -0.685
2019 48 4.242 0.479 -0.677
2019 48 4.216 0.462 -0.770
2019 48 4.193 0.454 -0.737
2019 48 4.251 0.436 -0.802
2019 48 4.186 0.480 -0.795
2019 48 4.287 0.527 -0.701
2019 48 4.222 0.612 -0.764
2019 48 4.210 0.558 -0.577
2019 48 4.210 0.596 -0.692
2019 48 4.223 0.636 -0.469
2019 48 4.214 0.620 -0.507
2019 48 4.192 0.550 -0.548
2019 48 4.141 0.543 -0.522
2019 48 4.146 0.487 -0.538
2019 48 4.217 0.505 -0.562
2019 48 4.191 0.527 -0.368
2019 48 4.172 0.672 -0.493
2019 48 4.177 0.744 -0.324
2019 48 4.152 0.500 -0.825
2019 48 4.096 0.421 -0.936
2019 48 4.225 0.613 -0.420
2019 48 4.199 0.513 -0.543
2019 48 4.169 0.460 -0.358
2019 48 4.178 0.512 -0.465
2019 48 4.125 0.483 -0.387
2019 48 4.157 0.358 -0.442
2019 48 4.084 0.358 -0.546
2019 48 4.101 0.308 -0.594
2019 48 4.113 0.231 -0.676
2019 48 4.088 0.330 -0.607
2019 48 4.089 0.538 -0.505
2019 48 4.094 0.395 -0.569
2019 48 4.129 0.386 -0.564
2019 48 4.038 0.240 -0.607
2019 48 4.090 0.284 -0.579
2019 48 4.106 0.235 -0.601
2019 48 4.121 0.180 -0.597
2019 48 4.203 0.576 -0.535
2019 48 4.418 0.645 -0.502
2019 48 4.400 0.877 -0.468
2019 48 4.416 1.199 -0.460
2019 48 4.470 1.146 -0.479
2019 48 4.317 1.306 -0.348
2019 48 4.367 1.337 -0.483
2019 48 4.393 1.335 -0.449
2019 48 4.413 1.286 -0.490
2019 48 4.330 1.162 -0.526
2019 48 3.864 1.252 -0.499
2019 48 3.779 1.240 -0.433
2019 48 3.808 1.228 -0.420
2019 48 3.816 1.251 -0.434
2019 48 3.824 1.290 -0.439
2019 48 3.702 1.308 -0.488
2019 48 3.762 1.337 -0.519
2019 48 3.692 1.336 -0.523
2019 48 3.704 1.415 -0.613
2019 48 3.644 1.503 -0.666
2019 48 3.677 1.507 -0.619
2019 48 3.678 1.500 -0.578
2019 48 3.675 1.471 -0.600
2019 48 3.700 1.537 -0.610
2019 48 3.670 1.643 -0.642
2019 48 3.533 1.754 -0.700
2019 48 3.560 1.760 -0.715
2019 48 3.565 1.770 -0.710
2019 48 3.457 1.881 -0.709
2019 48 3.522 1.937 -0.780
2019 48 3.347 2.026 -0.739
2019 48 3.644 2.216 -0.754
2019 48 3.752 2.298 -0.807
2019 48 3.785 2.084 -0.810
2019 48 3.840 2.072 -0.847
2019 48 3.987 2.097 -0.900
2019 48 3.999 2.053 -0.850
2019 48 3.892 1.902 -0.853
2019 48 3.711 1.733 -0.866
2019 48 3.369 1.838 -0.796
2019 48 3.318 1.625 -0.882
2019 48 3.542 1.581 -0.996
2019 48 3.371 1.644 -1.042
2019 48 3.640 1.825 -1.086
2019 48 3.777 2.044 -1.302
2019 48 3.889 1.848 -1.201
2019 48 3.791 1.880 -1.172
2019 48 3.859 1.871 -1.232
2019 48 3.851 1.915 -1.379
2019 48 3.917 1.820 -1.078
2019 48 3.951 1.723 -1.026
2019 48 3.910 1.867 -1.063
2019 48 3.828 1.924 -1.127
2019 48 3.793 2.121 -1.214
2019 48 3.936 1.922 -1.081
2019 48 3.875 1.991 -1.130
2019 48 3.868 1.915 -1.074
2019 48 3.774 2.062 -1.142
2019 48 3.907 1.917 -1.070
2019 48 3.889 1.968 -1.043
2019 48 3.949 1.798 -0.973
2019 48 3.928 1.568 -0.603
2019 48 3.938 1.573 -0.619
2019 48 3.918 1.560 -0.767
